elevation_ft,area_acres,capacity_acft,capacity_inchro
1237,0.005027548,0.005027548,3.58428E-07
1238,0.082185491,0.035835629,2.55482E-06
1239,0.390541781,0.25312213,1.80458E-05
1240,0.767539027,0.821648301,5.85776E-05
1241,1.317722681,1.851974288,0.000132032
1242,1.785123967,3.397497704,0.000242217
1243,2.338544536,5.45312213,0.000388768
1244,2.94171258,8.087488522,0.00057658
1245,3.636983471,11.37070707,0.000810649
1246,4.188613407,15.28025712,0.001089372
1247,4.591735537,19.66889348,0.00140225
1248,5.219536272,24.57118916,0.001751748
1249,6.445959596,30.39315886,0.002166813
1250,7.614692378,37.41538108,0.002667446
1251,9.586570248,45.99710744,0.003279261
1252,12.36618457,56.94403122,0.004059698
1253,15.40323691,70.80098714,0.005047599
1254,19.16873278,88.05268595,0.00627752
1255,25.80615243,110.4580579,0.007874862
1256,31.31593205,138.9747016,0.009907892
1257,36.73436639,172.963843,0.012331072
1258,44.10316804,213.3265152,0.015208639
1259,50.46841139,260.5765611,0.018577226
1260,54.75146924,313.1719697,0.022326899
1261,57.92768595,369.5040863,0.026342972
1262,61.39556933,429.1573232,0.030595817
1263,64.08521579,491.8929063,0.035068411
1264,67.01053719,557.4353535,0.039741114
1265,70.08523875,625.9775023,0.044627674
1266,73.46331497,697.7451561,0.049744189
1267,77.606382,773.2705234,0.055128602
1268,82.06563361,853.0961433,0.060819592
1269,85.95071166,937.096832,0.066808234
1270,89.60229568,1024.867011,0.073065614
1271,92.9585629,1116.142287,0.079572881
1272,96.24343434,1210.738522,0.08631691
1273,100.0679752,1308.888017,0.09331426
1274,103.8436639,1410.838017,0.100582558
1275,107.923944,1516.715266,0.108130841
1276,112.3827824,1626.861111,0.115983444
1277,116.3309688,1741.212305,0.124135858
1278,120.144674,1859.444995,0.132564995
1279,123.3705234,1981.199036,0.141245178
1280,126.7783976,2106.269628,0.150161808
1281,130.3804408,2234.844835,0.159328291
1282,133.5398301,2366.801814,0.16873587
1283,136.916506,2502.026469,0.178376411
1284,140.9002984,2640.930119,0.188279238
1285,145.5615702,2784.154729,0.198490118
1286,149.0701791,2931.467126,0.208992428
1287,152.8363177,3082.41646,0.219754025
1288,156.2796373,3236.971235,0.230772664
1289,160.078742,3395.146625,0.242049426
1290,163.2595271,3556.813154,0.253575082
1291,166.2918044,3721.586501,0.265322231
1292,169.4839073,3889.471832,0.277291242
1293,172.6432507,4060.532989,0.289486667
1294,175.8360193,4234.770179,0.30190852
1295,178.8558999,4412.114004,0.314551853
1296,181.8091598,4592.444513,0.327408116
1297,184.9951331,4775.844353,0.340483199
1298,188.5887971,4962.633448,0.353799912
1299,192.2710973,5153.060422,0.36737598
1300,196.3624197,5347.3736,0.381229106
1301,199.823416,5545.464004,0.39535152
1302,202.7231635,5746.73556,0.409700728
1303,205.6498852,5950.92034,0.424257628
1304,208.5879936,6158.037534,0.439023587
1305,212.4604454,6368.558792,0.454032232
1306,215.7281451,6582.65101,0.469295461
1307,218.5613866,6799.794238,0.484776204
1308,221.2888659,7019.717952,0.500455176
1309,223.6575987,7242.190129,0.516315835
1310,225.9704775,7467.003168,0.53234338
1311,228.4201561,7694.197383,0.548540687
1312,230.6551882,7923.73416,0.564905001
1313,232.7522268,8155.437075,0.581423744
1314,235.0199036,8389.322222,0.598098066
1315,237.3706152,8625.516506,0.614937012
1316,239.94309,8864.172199,0.631951439
1317,242.5947429,9105.439899,0.649152083
1318,245.4853765,9349.478535,0.666550274
1319,248.7287879,9596.583838,0.684167097
1320,252.4574151,9847.174633,0.70203241
1321,256.1998393,10101.50096,0.72016404
1322,260.1283976,10359.66258,0.738569099
1323,263.8215565,10621.6354,0.757245868
1324,267.509068,10887.29858,0.776185733
1325,271.5204775,11156.81086,0.795400012
1326,275.593595,11430.36536,0.814902471
1327,280.0681359,11708.19323,0.834709591
1328,283.9492424,11990.1997,0.854814615
1329,287.6817493,12276.01318,0.875191051
1330,291.4414371,12565.57273,0.895834555
1331,295.0381772,12858.8107,0.916740304
1332,298.7932048,13155.7244,0.937908106
1333,302.6777089,13456.45776,0.959348222
1334,306.7773875,13761.18301,0.981072931
1335,311.3396006,14070.23871,1.003106369
1336,315.6476584,14383.72987,1.025456024
1337,319.4659091,14701.28473,1.048095392
1338,323.5906336,15022.81079,1.071017877
1339,327.8849403,15348.54621,1.094240459
1340,331.7913682,15678.38244,1.117755399
1341,335.0548439,16011.80422,1.141525964
1342,338.1803719,16348.42062,1.165524281
1343,341.1266988,16688.07309,1.189739049
1344,344.1793618,17030.725,1.214167654
1345,347.4364325,17376.53161,1.238821167
1346,350.653742,17725.57546,1.263705472
1347,353.7780073,18077.79017,1.288815836
1348,356.8422635,18433.09922,1.314146804
1349,359.8307163,18791.43466,1.339693533
1350,362.7717631,19152.73492,1.365451631
1351,365.9248393,19517.08207,1.39142695
1352,369.1253444,19884.60599,1.417628751
1353,372.1512626,20255.24327,1.444052511
1354,375.3652433,20629.00037,1.470698692
1355,379.5954316,21006.47872,1.497610171
1356,383.9001607,21388.22449,1.524825887
1357,387.7799587,21774.06292,1.55233338
1358,391.4982782,22163.70057,1.580111729
1359,395.1373737,22557.01699,1.608152348
1360,398.7904959,22953.97952,1.636452909
1361,402.4310147,23354.58889,1.665013462
1362,406.2107897,23758.90831,1.693838516
1363,410.059045,24167.04171,1.722935479
1364,413.9189164,24579.02918,1.752307209
1365,417.5072773,24994.74098,1.781944457
1366,420.8709826,25413.92899,1.811829534
1367,424.440955,25836.5837,1.841961761
1368,428.1186869,26262.86219,1.872352338
1369,431.9431818,26692.89171,1.903010336
1370,435.684045,27126.70397,1.933938016
1371,439.951584,27564.52006,1.965151141
1372,444.2265611,28006.60742,1.996668775
1373,449.1325298,28453.28471,2.028513639
1374,453.7925161,28904.74522,2.060699512
1375,458.1843664,29360.73191,2.093208068
1376,462.6306474,29821.13763,2.12603167
1377,466.5742424,30285.73868,2.159154369
1378,471.303191,30754.67541,2.19258617
1379,475.7705005,31228.21051,2.226345801
1380,479.8224977,31706.00558,2.260409138
1381,483.330326,32187.58092,2.29474198
1382,486.8609275,32672.67548,2.329325718
1383,490.3886134,33161.2992,2.364161059
1384,493.8406795,33653.41283,2.399245206
1385,497.4740358,34149.06908,2.434581915
1386,501.0613177,34648.33567,2.470176017
1387,504.4525712,35151.09167,2.506018887
1388,507.8567493,35657.24536,2.542103988
1389,511.5094353,36166.92736,2.578440633
1390,515.5934803,36680.47748,2.615053046
1391,520.0391185,37198.29219,2.651969494
1392,525.0458907,37720.83269,2.689222857
1393,530.0432507,38248.3753,2.726832833
1394,534.5233012,38780.657,2.764780673
1395,538.6166437,39317.22567,2.803034143
1396,542.3809458,39857.72337,2.841567724
1397,545.9230257,40401.8744,2.880361761
1398,549.4082874,40949.53914,2.919406301
1399,552.8637741,41500.67427,2.958698253
1400,556.3867309,42055.29858,2.99823896
1401,560.1209137,42613.55135,3.03803835
1402,564.0016299,43175.6115,3.078109178
1403,567.9159091,43741.56915,3.118457869
1404,571.6335629,44311.34286,3.159078618
1405,575.1983701,44884.7579,3.199958968
1406,578.4874426,45461.60002,3.241083644
1407,581.7519284,46041.71894,3.282441932
1408,585.0944215,46625.14132,3.324035733
1409,588.568618,47211.97199,3.36587252
1410,592.2126263,47802.36169,3.40796304
1411,595.9179063,48396.42599,3.450315533
1412,600.4238522,48994.59545,3.492960694
1413,605.8256887,49597.7182,3.535958989
1414,610.9201561,50206.08935,3.579331456
1415,616.0399908,50819.56763,3.623068026
1416,621.2643939,51438.21798,3.667173326
1417,626.9109504,52062.30351,3.711666116
1418,632.7379706,52692.12573,3.75656789
1419,638.7050275,53327.8449,3.801890074
1420,645.4145087,53969.90174,3.847664089
1421,652.7082415,54618.95971,3.893937232
1422,659.5293388,55275.07555,3.940713552
1423,667.2895546,55938.48122,3.988009583
1424,675.6915519,56609.9674,4.035881697
1425,683.5902893,57289.6045,4.084334912
1426,691.2424472,57977.01731,4.133342479
1427,698.6612718,58671.96586,4.18288729
1428,705.3727273,59373.98019,4.23293584
1429,711.3540863,60082.34148,4.283436883
1430,717.0477273,60796.5405,4.334354113
1431,722.4641644,61516.29474,4.38566739
1432,728.1924702,62241.62117,4.437377924
1433,733.7806015,62972.60592,4.489491856
1434,739.5912075,63709.28992,4.542012103
1435,745.7207071,64451.94378,4.594957958
1436,751.7615702,65200.6829,4.648337648
1437,758.1847567,65955.65379,4.702161618
1438,764.2607668,66716.87452,4.756431157
1439,770.1857208,67484.09584,4.811128495
1440,776.4547291,68257.41396,4.866260489
1441,782.8642792,69037.07126,4.921844422
1442,789.3516988,69823.17702,4.977888084
1443,795.7252755,70615.71336,5.034390199
1444,802.1572773,71414.65248,5.091348786
1445,809.2953398,72220.37615,5.148791063
1446,814.8162764,73032.43039,5.206684664
1447,819.9172176,73849.79582,5.264956914
1448,824.8865014,74672.19644,5.323588137
1449,829.8048669,75499.54091,5.38257182
1450,834.9573921,76331.92071,5.441914486
1451,839.7578742,77169.2772,5.501611955
1452,844.6152893,78011.46263,5.561653691
1453,849.5517218,78858.54493,5.622044539
1454,854.5211892,79710.58017,5.682788496
1455,859.4388659,80567.55902,5.743884898
1456,864.1589073,81429.35684,5.805324856
1457,868.7555785,82295.81306,5.867096925
1458,873.1936639,83166.78673,5.929191055
1459,877.8013545,84042.28322,5.99160763
1460,882.7106749,84922.53809,6.054363442
1461,888,85808.49882,6.117526042
1462,893,86698.99765,6.181012175
1463,898,87594.49649,6.244854773
1464,903,88494.99533,6.309053835
1465,909,89400.99368,6.373644971
1466,915,90312.99203,6.438663865
1467,921,91230.9904,6.504110517
1468,927,92154.98878,6.569984926
1469,933,93084.98716,6.636287092
1470,936,94019.48676,6.702910162
1471,945.21,94959.98317,6.769960761
1472,950.52,95907.84693,6.8375366
1473,956.3,96861.25547,6.905507741
1474,962.08,97820.44402,6.973890955
1475,967.97,98785.46752,7.042690159
1476,973.85,99756.37604,7.111908921
1477,979.23,100732.9148,7.18152908
1478,984.61,101714.8336,7.251532795
1479,990.05,102702.1623,7.321922202
1480,995.49,103694.9311,7.392699442
1481,1001.94,104693.6444,7.463900483
1482,1008.39,105698.8076,7.535561362
1483,1013.96,106709.9813,7.607650743
1484,1019.53,107726.7251,7.680137226
1485,1025.36,108749.1687,7.753030069
1486,1031.19,109777.4423,7.826338549
1487,1036.94,110811.506,7.900059818
1488,1042.69,111851.3197,7.974191021
1489,1048.35,112896.8384,8.048728953
1490,1054.01,113948.0171,8.123670402
1491,1059.59,115004.8159,8.19901252
1492,1065.18,116067.1997,8.274752808
1493,1071.18,117135.3783,8.350906224
1494,1077.17,118209.5519,8.427487042
1495,1084.1,119290.185,8.504528379
1496,1091.02,120377.7432,8.582063419
1497,1098.66,121472.581,8.660117443
1498,1106.3,122575.0587,8.738716145
1499,1113.01,123684.7121,8.817826409
1500,1119.72,124801.0754,8.897415048
1501,1126.72,125924.2936,8.97749239
1502,1133.72,127054.5118,9.058068782
1503,1140.72,128191.73,9.139144224
1504,1147.72,129335.9482,9.220718717
1505,1154.72,130487.1664,9.302792259
1506,1161.72,131645.3846,9.385364852
1507,1169.72,132811.1023,9.468472103
1508,1177.72,133984.8201,9.552149698
1509,1183.72,135165.5388,9.636326413
1510,1187.72,136351.2582,9.720859643
1511,1191.72,137540.9777,9.805678044
1512,1194.72,138734.1974,9.890745987
1513,1206.22,139934.6628,9.976330498
1514,1217.72,141146.6282,10.06273488